Timestamp,Frequency_Hz
1787570856.6176314,9.89741419304301
1787570856.6326315,9.89741608334223
1787570856.6476314,9.89741561028904
1787570856.6626315,9.89741662957762
1787570856.6776314,9.8974156318132
1787570856.6926315,9.89741534912926
1787570856.7076313,9.89741489903524
1787570856.7226315,84.502900583931
1787570856.7376313,143.027275777084
1787570856.7526314,182.854482270005
1787570856.7676315,219.944692780582
1787570856.7826314,254.662635983848
1787570856.7976315,287.414683186198
1787570856.8126314,317.022835382693
1787570856.8276315,347.796554768199
1787570856.8426313,374.479217210733
1787570856.8576314,402.853122601202
1787570856.8726315,429.919443316506
1787570856.8876314,457.088815427265
1787570856.9026315,480.859334465717
1787570856.9176314,506.855230605778
1787570856.9326315,530.305901528063
1787570856.9476314,554.748629351258
1787570856.9626315,580.221423267242
1787570856.9776313,603.438245626605
1787570856.9926314,625.196906116644
1787570857.0076315,648.858562408416
1787570857.0226314,671.027379755211
1787570857.0376315,695.291103042638
1787570857.0526314,717.677199159576
1787570857.0676315,739.019727522993
1787570857.0826313,761.178274396296
1787570857.0976315,783.302038850872
1787570857.1126313,806.876986481275
1787570857.1276314,829.087693196358
1787570857.1426315,850.313035923705
1787570857.1576314,870.557462044674
1787570857.1726315,890.767194010837
1787570857.1876314,910.936817742573
1787570857.2026315,931.075068794622
1787570857.2176313,951.173709093955
1787570857.2326314,971.238221390458
1787570857.2476315,991.264034814015
1787570857.2626314,1011.25905506839
1787570857.2776315,1031.21016475541
1787570857.2926314,1051.13204521835
1787570857.3076315,1071.01422205433
1787570857.3226314,1090.86070372172
1787570857.3376315,1110.67557989701
1787570857.3526313,1130.44925612222
1787570857.3676314,1150.1952852789
1787570857.3826315,1169.8984499048
1787570857.3976314,1189.56537460011
1787570857.4126315,1208.61454387887
1787570857.4276314,1228.22024175432
1787570857.4426315,1246.61948991035
1787570857.4576313,1264.9843359634
1787570857.4726315,1283.55304820623
1787570857.4876313,1301.93101345576
1787570857.5026314,1320.27370945828
1787570857.5176315,1338.96468737061
1787570857.5326314,1357.30798839159
1787570857.5476315,1375.62636833939
1787570857.5626314,1392.89366848725
1787570857.5776315,1411.74281365047
1787570857.5926313,1429.06021880222
1787570857.6076314,1447.30529183453
1787570857.6226315,1463.63559312916
1787570857.6376314,1481.76426537883
1787570857.6526315,1499.9721998735
1787570857.6676314,1518.60361513484
1787570857.6826315,1537.64703507041
1787570857.6976314,1556.65274775561
1787570857.7126315,1575.62690934081
1787570857.7276313,1593.26475050436
1787570857.7426314,1609.74119409532
1787570857.7576315,1627.80010655331
1787570857.7726314,1644.99267174693
1787570857.7876315,1661.35709228035
1787570857.8026314,1678.1569872781
1787570857.8176315,1695.35270098345
1787570857.8326313,1712.52513189513
1787570857.8476315,1728.90625294698
1787570857.8626313,1745.97368493697
1787570857.8776314,1763.51290862086
1787570857.8926315,1782.11297612417
1787570857.9076314,1800.6839755103
1787570857.9226315,1818.86103232996
1787570857.9376314,1835.20670918045
1787570857.9526315,1851.53274650066
1787570857.9676313,1868.10105602662
1787570857.9826314,1885.14558516795
1787570857.9976315,1900.80985730292
1787570858.0126314,1917.13408690423
1787570858.0276315,1933.9562787141
1787570858.0426314,1950.30402838314
1787570858.0576315,1966.63826589602
1787570858.0726314,1984.55170603875
1787570858.0876315,2002.75896300687
1787570858.1026313,2019.98000409577
1787570858.1176314,2036.22625542162
1787570858.1326315,2051.83314978699
1787570858.1476314,2067.68037827001
1787570858.1626315,2083.93095624559
1787570858.1776314,2099.55926673129
1787570858.1926315,2115.17142418168
1787570858.2076313,2130.75641132639
1787570858.2226315,2147.22649046958
1787570858.2376313,2165.13283277155
1787570858.2526314,2183.01355478807
1787570858.2676315,2198.83449310603
1787570858.2826314,2213.92368386696
1787570858.2976315,2229.47561557141
1787570858.3126314,2245.02676796362
1787570858.3276315,2260.00661898887
1787570858.3426313,2275.93461054917
1787570858.3576314,2290.95734009334
1787570858.3726315,2307.28120505261
1787570858.3876314,2324.90757813832
1787570858.4026315,2341.71465602789
1787570858.4176314,2357.20558341041
1787570858.4326315,2372.67018934339
1787570858.4476314,2387.08277028397
1787570858.4626315,2402.28948349247
1787570858.4776313,2417.76873397951
1787570858.4926314,2432.7080070411
1787570858.5076315,2447.64684857369
1787570858.5226314,2464.76832289627
1787570858.5376315,2481.87135084597
1787570858.5526314,2496.75912264108
1787570858.5676315,2512.12129103284
1787570858.5826313,2526.49585857493
1787570858.5976315,2541.13644364929
1787570858.6126313,2556.48983408896
1787570858.6276314,2570.88890790381
1787570858.6426315,2585.74573743436
1787570858.6576314,2602.63654948161
1787570858.6726315,2619.72361180041
1787570858.6876314,2634.75924648028
1787570858.7026315,2649.09247517361
1787570858.7176313,2663.40963081428
1787570858.7326314,2677.97748617702
1787570858.7476315,2692.3382149176
1787570858.7626314,2707.1104558142
1787570858.7776315,2721.64205055549
1787570858.7926314,2738.52664984356
1787570858.8076315,2754.74084089208
1787570858.8226314,2769.0172491292
1787570858.8376315,2783.30132453569
1787570858.8526313,2797.53359534856
1787570858.8676314,2811.23423356704
1787570858.8826315,2825.9113538707
1787570858.8976314,2840.18070686278
1787570858.9126315,2855.83055865089
1787570858.9276314,2872.47328358153
1787570858.9426315,2886.90348872107
1787570858.9576313,2901.11027243285
1787570858.9726315,2914.90212749301
1787570858.9876313,2928.67985298733
1787570901.6026313,11979.3001135248
